"","subitem","subject","item","word.type","seconds","unique.id","word","freq","len.char","len.phon","len.syll","related","integrated","plausibility","association","maincode","dysfluency"
"1","101-1",101,1,"sil_#",0.815182965,"101-1-sil_#"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"2","101-1",101,1,"D1",0.052577687,"101-1-D1","the",6.1766,3,2,1,7,5.75,5.33,1.1,"C",""
"3","101-1",101,1,"N1",0.359578003,"101-1-N1","envelope",2.711,8,7,3,7,5.75,5.33,1.1,"C",""
"4","101-1",101,1,"P1",0.112778146,"101-1-P1","by",4.8348,2,2,1,7,5.75,5.33,1.1,"C",""
"5","101-1",101,1,"D2",0.063076726,"101-1-D2","the",6.1766,3,2,1,7,5.75,5.33,1.1,"C",""
"6","101-1",101,1,"A1",0.340118959,"101-1-A1","formal",2.6284,6,5,2,7,5.75,5.33,1.1,"C",""
"7","101-1",101,1,"N2",0.368557683,"101-1-N2","letter",3.6247,6,5,2,7,5.75,5.33,1.1,"C",""
"8","101-1",101,1,"sil_N2C1",0.726775223,"101-1-sil_N2C1"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"9","101-1",101,1,"C1",0.60885187,"101-1-C1","was",5.46,3,NA,NA,7,5.75,5.33,1.1,"C",""
"10","101-1",101,1,"sil_C1C2",0.429876815,"101-1-sil_C1C2"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"11","101-1",101,1,"C2",0.222946833,"101-1-C2","white",3.9418,5,NA,NA,7,5.75,5.33,1.1,"C",""
"12","101-10",101,10,"sil_#",0.504307392,"101-10-sil_#"," ",0,1,NA,NA,6.42,5.58,6.5,1.05,"U",""
"13","101-10",101,10,"D1",0.076151315,"101-10-D1","the",6.1766,3,2,1,6.42,5.58,6.5,1.05,"U",""
"14","101-10",101,10,"N1",0.262867983,"101-10-N1","vase",2.2945,4,3,1,6.42,5.58,6.5,1.05,"U",""
"15","101-10",101,10,"P1",0.119200208,"101-10-P1","with",5.4107,4,3,1,6.42,5.58,6.5,1.05,"U",""
"16","101-10",101,10,"D2",0.072254654,"101-10-D2","the",6.1766,3,2,1,6.42,5.58,6.5,1.05,"U",""
"17","101-10",101,10,"A1",0.360672631,"101-10-A1","vibrant",1.7243,7,7,2,6.42,5.58,6.5,1.05,"U",""
"18","101-10",101,10,"N2",0.629804531,"101-10-N2","flowers",3.3852,7,6,2,6.42,5.58,6.5,1.05,"U",""
"19","101-10",101,10,"C1",0.449575059,"101-10-C1","crashed",2.7259,7,NA,NA,6.42,5.58,6.5,1.05,"U",""
"20","101-11",101,11,"sil_#",1.125766642,"101-11-sil_#"," ",0,1,NA,NA,5.5,5.17,5,0,"C",""
"21","101-11",101,11,"D1",0.051051243,"101-11-D1","the",6.1766,3,2,1,5.5,5.17,5,0,"C",""
"22","101-11",101,11,"N1",0.379837031,"101-11-N1","banana",2.7388,6,6,3,5.5,5.17,5,0,"C",""
"23","101-11",101,11,"P1",0.151647234,"101-11-P1","for",5.5461,3,3,1,5.5,5.17,5,0,"C",""
"24","101-11",101,11,"D2",0.094460435,"101-11-D2","the",6.1766,3,2,1,5.5,5.17,5,0,"C",""
"25","101-11",101,11,"A1",0.441357027,"101-11-A1","popular",3.0711,7,8,3,5.5,5.17,5,0,"C",""
"26","101-11",101,11,"N2",0.68413616,"101-11-N2","sundaes",1.4472,7,6,2,5.5,5.17,5,0,"C",""
"27","101-11",101,11,"sil_N2C1",0.593090364,"101-11-sil_N2C1"," ",0,1,NA,NA,5.5,5.17,5,0,"C",""
"28","101-11",101,11,"C1",0.237993872,"101-11-C1","was",5.46,3,NA,NA,5.5,5.17,5,0,"C",""
"29","101-11",101,11,"C2",0.433325743,"101-11-C2","rotten",2.9504,6,NA,NA,5.5,5.17,5,0,"C",""
"30","101-12",101,12,"sil_#",0.491256061,"101-12-sil_#"," ",0,1,NA,NA,3.92,4.83,5.67,0,"U",""
"31","101-12",101,12,"D1",0.052265573,"101-12-D1","the",6.1766,3,2,1,3.92,4.83,5.67,0,"U",""
