subitem	subject	item	word	seconds
8-1	8	1	sil_#	1.212254476
8-1	8	1	D1	0.09194678
8-1	8	1	N1	0.381676192
8-1	8	1	P1	0.169793562
8-1	8	1	D2	0.109083213
8-1	8	1	A1	0.297396864
8-1	8	1	N2	0.516967632
8-1	8	1	C1	0.182993324
8-1	8	1	C2	0.573335317
8-2	8	2	sil_#	0.919902642
8-2	8	2	D1	0.136553382
8-2	8	2	N1	0.213660198
8-2	8	2	P1	0.190050846
8-2	8	2	D2	0.130289719
8-2	8	2	A1	0.293625741
8-2	8	2	N2	0.819741671
8-2	8	2	sil_N2C1	0.131266941
8-2	8	2	C1	0.153655716
8-2	8	2	C2	0.254966012
8-2	8	2	C3	0.362019759
8-3	8	3	sil_#	1.467983197
8-3	8	3	D1	0.099830663
8-3	8	3	N1	0.392951336
8-3	8	3	P1	0.127648822
8-3	8	3	D2	0.103701348
8-3	8	3	A1	0.415239476
8-3	8	3	N2	0.515735187
8-3	8	3	sil_N2C1	0.054559596
8-3	8	3	C1	0.092203263
8-3	8	3	C2	0.453776152
8-4	8	4	sil_#	1.040684281
8-4	8	4	D1	0.120565876
8-4	8	4	N1	0.380755484
8-4	8	4	P1	0.131938733
8-4	8	4	D2	0.086754291
8-4	8	4	A1	0.631207606
8-4	8	4	N2	0.701865255
8-4	8	4	sil_N2C1	0.06257309
8-4	8	4	C1	0.302299607
8-4	8	4	C2	0.102617681
8-4	8	4	C3	0.36308752
8-5	8	5	sil_#	1.822606804
8-5	8	5	D1	0.174857686
8-5	8	5	N1	0.320867079
8-5	8	5	P1	0.187374621
8-5	8	5	D2	0.106808274
8-5	8	5	A1	0.498492678
8-5	8	5	N2	0.517836958
8-5	8	5	sil_N2C1	0.096191554
8-5	8	5	C1	0.243932271
8-5	8	5	C2	0.336919718
8-6	8	6	sil_#	1.867291379
8-6	8	6	D1	0.068844005
8-6	8	6	N1	0.361000029
8-6	8	6	P1	0.105082548
8-6	8	6	D2	0.080259738
8-6	8	6	A1	0.454831845
8-6	8	6	N2	0.817417409
8-6	8	6	sil_N2C1	0.513382953
8-6	8	6	C1	0.233625632
8-6	8	6	C2	0.476687263
8-7	8	7	sil_#	1.784987991
8-7	8	7	D1	0.080908246
8-7	8	7	N1	0.448097763
8-7	8	7	P1	0.126454216
8-7	8	7	D2	0.122995393
8-7	8	7	A1	0.378826196
8-7	8	7	N2	0.476117846
8-7	8	7	C1	0.26355207
8-7	8	7	C2	1.068230285
8-8	8	8	sil_#	0.829654879
8-8	8	8	D1	0.07179516
8-8	8	8	N1	0.582874846
8-8	8	8	P1	0.169269561
8-8	8	8	D2	0.04123615
8-8	8	8	A1	0.370399836
8-8	8	8	N2	0.479307905
8-8	8	8	C1	0.45316579
8-8	8	8	C2	0.579423939
8-9	8	9	sil_#	0.873263346
8-9	8	9	D1	0.059460538
8-9	8	9	N1	0.409242721
8-9	8	9	P1	0.225246464
8-9	8	9	D2	0.112959421
8-9	8	9	A1	0.486314523
8-9	8	9	N2	0.771706477
8-9	8	9	sil_N2C1	0.22866977
8-9	8	9	C1	0.303147672
8-9	8	9	C2	0.329598626
8-10	8	10	sil_#	1.953415439
8-10	8	10	D1	0.093311638
8-10	8	10	N1	0.286731198
8-10	8	10	P1	0.129385502
8-10	8	10	D2	0.085798056
8-10	8	10	A1	0.423717709
8-10	8	10	N2	0.430159569
8-10	8	10	C1	0.127013724
8-10	8	10	C2	0.642120563
8-11	8	11	sil_#	1.294274977
8-11	8	11	D1	0.053457502
8-11	8	11	N1	0.417482766
8-11	8	11	P1	0.187746197
8-11	8	11	D2	0.11030065
8-11	8	11	A1	0.487085215
8-11	8	11	N2	0.46548969
8-11	8	11	C1	0.216389052
8-11	8	11	C2	0.778693935
8-12	8	12	sil_#	0.335321664
8-12	8	12	D1	0.041666056
8-12	8	12	N1	0.54146853
8-12	8	12	P1	0.168447443
8-12	8	12	D2	0.10395913
8-12	8	12	A1	0.319351509
8-12	8	12	N2	0.592086615
8-12	8	12	C1	0.204442841
8-12	8	12	C2	0.325407491
8-13	8	13	sil_#	2.043208414
8-13	8	13	D1	0.11855828
8-13	8	13	N1	0.570603151
8-13	8	13	P1	0.149006421
8-13	8	13	D2	0.092207154
8-13	8	13	A1	0.400441113
8-13	8	13	N2	0.942757396
8-13	8	13	sil_N2C1	0.306302342
8-13	8	13	C1	0.350225453
8-13	8	13	C2	0.533371128
8-14	8	14	sil_#	2.526646844
8-14	8	14	D1	0.104074356
8-14	8	14	N1	0.343430453
8-14	8	14	P1	0.151071355
8-14	8	14	D2	0.130497445
8-14	8	14	A1	0.703533955
8-14	8	14	N2	0.673636739
8-14	8	14	C1	0.193792755
8-14	8	14	C2	0.517211661
8-15	8	15	sil_#	1.828101562
8-15	8	15	D1	0.153293482
8-15	8	15	N1	0.340966833
8-15	8	15	P1	0.08923745
8-15	8	15	D2	0.058925582
8-15	8	15	A1	0.400691368
8-15	8	15	N2	0.644454976
8-15	8	15	C1	0.133268722
8-15	8	15	C2	0.665908974
8-16	8	16	sil_#	0.815110267
8-16	8	16	D1	0.083388689
8-16	8	16	N1	0.451219865
8-16	8	16	P1	0.157700152
8-16	8	16	D2	0.089416906
8-16	8	16	A1	0.502663182
8-16	8	16	N2	0.389249556
8-16	8	16	sil_N2C1	0.546505997
8-16	8	16	C1	0.185706827
8-16	8	16	C2	0.661531577
8-17	8	17	sil_#	0.779935083
8-17	8	17	D1	0.113650057
8-17	8	17	N1	0.500996564
8-17	8	17	P1	0.128166105
8-17	8	17	D2	0.063722815
8-17	8	17	A1	0.594200938
8-17	8	17	N2	0.357112625
8-17	8	17	C1	0.189060827
8-17	8	17	C2	0.497164334
8-18	8	18	sil_#	0.717796884
8-18	8	18	D1	0.119184185
8-18	8	18	N1	0.365905103
8-18	8	18	P1	0.169408391
8-18	8	18	D2	0.101597633
8-18	8	18	A1	0.509209932
8-18	8	18	N2	0.328107277
8-18	8	18	C1	0.220320063
8-18	8	18	C2	0.450135351
8-19	8	19	sil_#	1.954106941
8-19	8	19	D1	0.077627849
8-19	8	19	N1	0.477609305
8-19	8	19	P1	0.123830778
8-19	8	19	D2	0.105502179
8-19	8	19	A1	0.80652984
8-19	8	19	N2	0.410917832
8-19	8	19	C1	0.173239569
8-19	8	19	C2	0.560272453
8-20	8	20	sil_#	1.861605153
8-20	8	20	D1	0.056112096
8-20	8	20	N1	0.420876034
8-20	8	20	P1	0.155288264
8-20	8	20	D2	0.045192693
8-20	8	20	A1	0.278259336
8-20	8	20	N2	0.535203071
8-20	8	20	C1	0.289492026
8-20	8	20	C2	0.621866692
8-21	8	21	sil_#	0.517529623
8-21	8	21	D1	0.067796067
8-21	8	21	N1	0.418478899
8-21	8	21	P1	0.125599576
8-21	8	21	D2	0.056539621
8-21	8	21	A1	0.474750907
8-21	8	21	N2	0.534786616
8-21	8	21	C1	0.146470968
8-21	8	21	C2	0.550846064
8-22	8	22	sil_#	2.038964817
8-22	8	22	D1	0.089590153
8-22	8	22	N1	0.423395485
8-22	8	22	P1	0.148037969
8-22	8	22	D2	0.105709718
8-22	8	22	A1	0.478712947
8-22	8	22	N2	0.543118252
8-22	8	22	C1	0.136083643
8-22	8	22	C2	0.58569562
8-23	8	23	sil_#	2.119615438
8-23	8	23	D1	0.127421892
8-23	8	23	N1	0.351500447
8-23	8	23	P1	0.127263766
8-23	8	23	D2	0.07253512
8-23	8	23	A1	0.382535892
8-23	8	23	N2	0.411998073
8-23	8	23	C1	0.35146691
8-23	8	23	C2	0.535327465
8-24	8	24	sil_#	1.049027918
8-24	8	24	D1	0.166262844
8-24	8	24	N1	0.332138135
8-24	8	24	P1	0.135352696
8-24	8	24	D2	0.062216521
8-24	8	24	A1	0.471173538
8-24	8	24	N2	0.380470496
8-24	8	24	C1	0.114844479
8-24	8	24	C2	0.692370394
21-1	21	1	sil_#	1.117656164
21-1	21	1	D1	0.074001231
21-1	21	1	N1	0.428793857
21-1	21	1	P1	0.20374294
21-1	21	1	D2	0.102627329
21-1	21	1	A1	0.460321106
21-1	21	1	N2	0.470022825
21-1	21	1	sil_N2C1	0.136721243
21-1	21	1	C1	0.250785418
21-1	21	1	C2	0.680298491
21-2	21	2	sil_#	0.144590927
21-2	21	2	D1	0.08807081
21-2	21	2	N1	0.241144323
21-2	21	2	P1	0.267970449
21-2	21	2	D2	0.165260847
21-2	21	2	A1	0.376176006
21-2	21	2	N2	0.574909951
21-2	21	2	sil_N2C1	0.126048627
21-2	21	2	C1	0.318078257
21-2	21	2	C2	0.569663903
21-3	21	3	sil_#	0.799334091
21-3	21	3	D1	0.063913917
21-3	21	3	N1	0.375491435
21-3	21	3	P1	0.212153954
21-3	21	3	D2	0.086744896
21-3	21	3	A1	0.437375528
21-3	21	3	N2	0.53005556
21-3	21	3	sil_N2C1	0.679440081
21-3	21	3	C1	0.222971672
21-3	21	3	C2	0.378215602
21-3	21	3	C3	0.433717555
21-4	21	4	sil_#	0.457914562
21-4	21	4	D1	0.093890124
21-4	21	4	N1	0.422714864
21-4	21	4	P1	0.166229167
21-4	21	4	D2	0.126354232
21-4	21	4	A1	0.811484807
21-4	21	4	N2	0.70325354
21-4	21	4	C1	0.171747064
21-4	21	4	C2	0.37330789
21-4	21	4	C3	0.810880964
21-5	21	5	sil_#	0.678112195
21-5	21	5	D1	0.138867186
21-5	21	5	N1	0.208525521
21-5	21	5	P1	0.198897376
21-5	21	5	D2	0.06684621
21-5	21	5	A1	0.457119751
21-5	21	5	N2	0.527782883
21-5	21	5	C1	0.193193188
21-5	21	5	C2	0.375655185
21-5	21	5	C3	0.684069361
21-6	21	6	sil_#	0.509589174
21-6	21	6	D1	0.079567911
21-6	21	6	N1	0.323786446
21-6	21	6	P1	0.132738245
21-6	21	6	D2	0.100884555
21-6	21	6	A1	0.393874082
21-6	21	6	N2	0.87584894
21-6	21	6	sil_N2C1	0.510684897
21-6	21	6	C1	0.349021306
21-6	21	6	C2	0.335259744
21-6	21	6	C3	0.531006965
21-7	21	7	sil_#	0.788530317
21-7	21	7	D1	0.075397966
21-7	21	7	N1	0.445070735
21-7	21	7	P1	0.148039166
21-7	21	7	D2	0.108215305
21-7	21	7	A1	0.509401872
21-7	21	7	N2	0.535811399
21-7	21	7	C1	0.227024209
21-7	21	7	C2	0.278913152
21-7	21	7	C3	0.934130495
21-8	21	8	sil_#	2.565534199
21-8	21	8	D1	0.052240985
21-8	21	8	N1	0.636320246
21-8	21	8	P1	0.21030435
21-8	21	8	D2	0.06952464
21-8	21	8	A1	0.428614322
21-8	21	8	N2	0.641986238
21-8	21	8	sil_N2C1	0.331560912
21-8	21	8	C1	0.37250652
21-8	21	8	C2	0.503069407
21-8	21	8	sil_C2C3	0.192133688
21-8	21	8	C3	0.650505915
21-9	21	9	sil_#	1.280461815
21-9	21	9	D1	0.078862669
21-9	21	9	N1	0.405463986
21-9	21	9	P1	0.202744499
21-9	21	9	D2	0.106862704
21-9	21	9	A1	0.55599235
21-9	21	9	N2	0.385272762
21-9	21	9	sil_N2C1	0.309973118
21-9	21	9	C1	0.156383636
21-9	21	9	C2	0.487928729
21-9	21	9	sil_C2C3	0.180692169
21-9	21	9	C3	0.72575205
21-10	21	10	sil_#	1.75902792
21-10	21	10	D1	0.078437649
21-10	21	10	N1	0.283828891
21-10	21	10	P1	0.149366863
21-10	21	10	D2	0.082874033
21-10	21	10	A1	0.475536616
21-10	21	10	N2	0.78945946
21-10	21	10	sil_N2C1	0.162215021
21-10	21	10	C1	0.179034753
21-10	21	10	C2	0.36143536
21-10	21	10	C3	0.613528692
21-11	21	11	sil_#	2.814975284
21-11	21	11	D1	0.044469149
21-11	21	11	N1	0.452436122
21-11	21	11	P1	0.163157802
21-11	21	11	D2	0.192929257
21-11	21	11	A1	0.723943359
21-11	21	11	N2	0.841540558
21-11	21	11	C1	0.379308507
21-11	21	11	C2	0.490442382
21-12	21	12	sil_#	0.816161095
21-12	21	12	D1	0.032236118
21-12	21	12	N1	0.585163786
21-12	21	12	P1	0.161110635
21-12	21	12	D2	0.095953879
21-12	21	12	A1	0.440862515
21-12	21	12	N2	0.765237165
21-12	21	12	C1	0.182859703
21-12	21	12	C2	0.303074624
21-12	21	12	C3	0.690176735
21-13	21	13	sil_#	0.60259897
21-13	21	13	D1	0.052550262
21-13	21	13	N1	0.481495023
21-13	21	13	P1	0.181445698
21-13	21	13	D2	0.080832998
21-13	21	13	A1	0.312872735
21-13	21	13	N2	0.575352722
21-13	21	13	sil_N2C1	0.448837233
21-13	21	13	C1	0.187363521
21-13	21	13	C2	0.692654888
21-14	21	14	sil_#	0.736547595
21-14	21	14	D1	0.141382742
21-14	21	14	N1	0.356478121
21-14	21	14	P1	0.182107117
21-14	21	14	D2	0.134697432
21-14	21	14	A1	0.473865245
21-14	21	14	N1	0.697207691
21-14	21	14	C1	0.367069685
21-14	21	14	C2	0.428204832
21-14	21	14	C3	0.455730318
21-15	21	15	sil_#	0.332904759
21-15	21	15	D1	0.090918647
21-15	21	15	N1	0.320871494
21-15	21	15	P1	0.123316834
21-15	21	15	D2	0.062271065
21-15	21	15	A1	0.410194828
21-15	21	15	N2	0.627296215
21-15	21	15	sil_N2C1	0.232901523
21-15	21	15	C1	0.203795902
21-15	21	15	C2	0.393437744
21-15	21	15	C3	0.604472691
21-16	21	16	sil_#	1.382258335
21-16	21	16	D1	0.102373403
21-16	21	16	N1	0.406121956
21-16	21	16	P1	0.195867352
21-16	21	16	D2	0.153806261
21-16	21	16	A1	0.611158009
21-16	21	16	N2	0.579221271
21-16	21	16	sil_N2C1	0.138296199
21-16	21	16	C1	0.21346489
21-16	21	16	C2	0.418937369
21-17	21	17	sil_#	1.063258503
21-17	21	17	D1	0.134605193
21-17	21	17	N1	0.43777904
21-17	21	17	P1	0.22521508
21-17	21	17	D2	0.135005926
21-17	21	17	A1	0.672447406
21-17	21	17	N2	0.787908273
21-17	21	17	sil_N2C1	0.32189275
21-17	21	17	C1	0.170496566
21-17	21	17	C2	0.247391374
21-17	21	17	C3	0.866915271
21-18	21	18	sil_#	0.542632763
21-18	21	18	D1	0.164956383
21-18	21	18	N1	0.299830204
21-18	21	18	P1	0.201319808
21-18	21	18	D2	0.12866357
21-18	21	18	A1	0.691616749
21-18	21	18	N2	0.63194474
21-18	21	18	sil_N2C1	0.173380731
21-18	21	18	C1	0.271116453
21-18	21	18	C2	0.720887978
21-19	21	19	sil_#	1.02189242
21-19	21	19	D1	0.098727338
21-19	21	19	N1	0.38458095
21-19	21	19	P1	0.1951597
21-19	21	19	D2	0.098773915
21-19	21	19	A1	0.505491086
21-19	21	19	N2	0.44157318
21-19	21	19	C1	0.186015689
21-19	21	19	C2	0.331599835
21-19	21	19	C3	0.705455573
