subitem,subject,item,transciption
1-24,1,24,the camera with the special lenses…did a lot
1-20,1,20,the hydrant with the bright reflector shone brightly
1-7,1,7,the necklace near the colorful feathers was expensive
1-4,1,4,the coach near the disruptive teenagers told them to be quiet
1-10,1,10,the vase near the vibrant flowers was clear
1-23,1,23,the canoe with the weathered oars was old
1-8,1,8,the fortress near the ancient farm was hidden
1-22,1,22,the trainer for the confident boxers trained them well
1-11,1,11,the banana near the popular... sundae…made it good
1-3,1,3,the hammer for the rusty nail…put it in the wood
1-15,1,15,the church near the giant cross was pretty
1-16,1,16,the eraser for the novelty pens didn't work very well
1-9,1,9,the but-near butler near the spoiled kid was annoyed
1-12,1,12,the bodyguard near the nervous actress was….intimidating
1-17,1,17,the waitress for the impatient seniors was rushed
1-1,1,1,the envelope for the formal letter was…royal looking
1-2,1,2,the cake with the colored candle was for a birthday party
1-18,1,18,the table for the antique lamps was old
1-6,1,6,the dam by the musty factories was huge
1-19,1,19,the resort with the elaborate garden was gorgeous
1-13,1,13,the bicycle by the warped tire was broken
1-14,1,14,the caddy near the charismatic golfer looked angry
1-21,1,21,the guitar with the faulty pedal did not sound very good
1-5,1,5,the tent near the sturdy cushions…was green
2-5,2,5,the tent with the sturdy pole... was….supported was (tsk)…built
2-2,2,2,the cake with the colored candles…was beautiful
2-14,2,14,the caddy near theeee golf course walked on to theee walked... on to the field
2-4,2,4,the coach for the disciplined athlete... always had an idea
2-9,2,9,the butler near the spoiled kids…um opened the door
2-24,2,24,the camera with the special manual was held up to the light
2-19,2,19,the resort with the elegant…pool was beautiful
2-23,2,23,the canoe with the weathered flag was falling apart
2-18,2,18,the table by the antique chair was beautiful
2-8,2,8,the fortress near the ancient farms... is always creepy
2-12,2,12,the bodyguard near the newe-um-near the nervous jeweler…um stood in front of her
2-22,2,22,the trainer for the confident…athlete…um was there
2-13,2,13,the bicycle by the wrapped tires…um was red
2-7,2,7,the necklace with the colorful feathers looked beautiful
2-3,2,3,the hammer for the rusty nails..was falling apart
2-11,2,11,the banana near the popular sandwich…store…um…was bad
2-20,2,20,the hydrant with the bright reflectors…um could be seen for miles away 
2-17,2,17,the waitress by the impatient diner… left to go home
2-16,2,16,the eraser near the novelty pencil…was used well
2-10,2,10,the vase near the vibrant cover was…beautiful
2-6,2,6,the dam for the murky river kept flowing
2-1,2,1,the envelope for the formal letters were all ready
2-21,2,21,the guitar with theee um (participant's comment unclear)….X
