subject,item,list,exp,integrated,related.x,n2num.x,text,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility,maincode,dysfluency
8,1,8,SemRel,unint,unrel,plur,The envelope by the photo albums,I,8,2,5,6,7,2,4,6,3,1,2,2,10.04,1212.84,22.82,2.33,1.04,3.08,1.38,0.52,2.83,2.17,1.92,0,0,0,0,0,0,4.58,C,
8,2,8,SemRel,unint,unrel,plur,The cake by the candy figurines,I,4,2,5,9,3,2,5,9,1,1,2,3,44.84,1212.84,35.55,0.49,1.66,3.08,1.56,0.17,3.92,3.58,3.5,0,0,0,0,0,0,5.55,C,
8,3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,I,6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,0,0,0,0,0,0,4.83,C,
8,4,8,SemRel,unint,unrel,sing,The coach near the disruptive teenager,A,5,4,10,8,4,3,9,7,1,1,3,3,29.33,59.14,0.43,6.92,1.48,1.78,0.16,0.9,4.25,2.58,3,0,0,0,0,0,0,5.08,U,
8,5,8,SemRel,unint,unrel,sing,The tent near the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,59.14,1.69,1.86,1.26,1.78,0.43,0.46,1.92,2.08,1.67,0,0,0,0,0,0,2.83,C,
8,6,8,SemRel,unint,unrel,sing,The dam by the musty factory,I,3,2,5,7,3,2,5,7,1,1,2,3,5.29,1212.84,0.49,2.31,0.8,3.08,0.17,0.52,2,3.33,2.5,0,5,0,0,0.45,0,4.17,C,
8,7,8,SemRel,unint,rel,plur,The necklace near the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,59.14,3.14,17.04,1.03,1.78,0.62,1.26,6.33,5.5,3.83,2.5,0,5,0.32,0,0.45,4.42,C,
8,8,8,SemRel,unint,rel,plur,The fortress near the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,24.16,0.64,1.78,1.35,1.4,6.25,6.33,4.58,0,0,0,0,0,0,5.5,C,
8,9,8,SemRel,unint,rel,plur,The butler near the selfish millionaires,A,6,4,7,12,6,3,6,10,2,1,2,3,6.8,59.14,15.94,1.76,0.89,1.78,1.23,0.44,5.83,4.58,3.33,0,0,0,0,0,0,4.92,C,
8,10,8,SemRel,unint,rel,sing,The vase near the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,59.14,1.02,22.14,0.69,1.78,0.31,1.36,5.75,6.78,5.08,15,0,2.5,0.8,0,0.32,4,C,
8,11,8,SemRel,unint,rel,sing,The banana near the popular sundae,I,6,4,7,6,6,3,8,5,3,1,3,2,10.61,59.14,23.22,1.59,1.06,1.78,1.38,0.41,5.08,5.75,3.67,0,0,5,0,0,0.45,3.75,C,
8,12,8,SemRel,unint,rel,sing,The bodyguard near the nervous actress,A,9,4,7,7,8,3,6,6,3,1,2,2,5.71,59.14,67.04,15.96,0.83,1.78,1.83,1.23,4.83,4.09,4.58,0,0,0,0,0,0,6.75,C,
8,13,8,SemRel,integ,unrel,plur,The bicycle with the warped baskets,I,7,4,6,7,8,3,4,7,3,1,1,2,6.55,5044.84,1.35,1.61,0.88,3.7,0.37,0.42,4.58,3,5,0,0,0,0,0,0,4.58,N,
8,14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,A,5,3,11,11,4,3,10,10,2,1,4,4,2.73,6749.25,0.8,7.27,0.57,3.83,0.26,0.92,2.25,1.17,3,0,0,0,0,0,0,5.17,C,
8,15,8,SemRel,integ,unrel,plur,The church with the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,5044.84,20.18,0.2,1.84,3.7,1.33,0.08,1.92,2.42,3.08,0,0,0,0,0,0,5,C,
8,16,8,SemRel,integ,unrel,sing,The eraser for the novelty pen,I,6,3,7,3,6,3,7,3,3,1,3,1,1,6749.25,1.67,23.9,0.3,3.83,0.43,1.4,4.33,3.33,4.92,0,2.5,2.5,0,0.32,0.32,4.33,C,D
8,17,8,SemRel,integ,unrel,sing,The waitress for the impatient senior,A,8,3,9,6,6,3,8,5,2,1,3,2,9.67,6749.25,4.04,0.71,1.03,3.83,0.7,0.23,1.17,2.08,2.83,0,0,0,0,0,0,5,C,
8,18,8,SemRel,integ,unrel,sing,The table for the antique lamp,I,5,3,7,4,5,3,5,4,2,1,2,1,105.2,6749.25,4.35,12.82,2.03,3.83,0.73,1.14,5,5,4.08,0,0,10,0,0,0.64,5.92,C,
8,19,8,SemRel,integ,rel,plur,The resort with the elongated pools,I,6,4,9,5,6,3,9,4,2,1,4,1,6.65,6749.25,0.31,2.29,0.88,3.83,0.12,0.52,6.25,6.17,4.92,0,0,0,0,0,0,6.17,C,
8,20,8,SemRel,integ,rel,plur,The hydrant with the bent hoses,I,7,4,5,5,8,3,4,5,2,1,1,2,1,5044.84,1.02,1.08,0.3,3.7,0.31,0.32,6.33,4.27,5.92,0,0,0,0,0,0,3.67,C,
8,21,8,SemRel,integ,rel,plur,The guitar with the faulty strings,I,6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,12.5,0,20,0.72,0,0.93,5.92,C,
8,22,8,SemRel,integ,rel,sing,The trainer for the confident boxer,A,7,3,9,5,6,3,9,6,2,1,3,2,5.49,6749.25,10.65,3.82,0.81,3.83,1.07,0.68,6.64,5.67,6,0,0,0,0,0,0,5.92,C,
8,23,8,SemRel,integ,rel,sing,The canoe with the weathered oar,I,5,4,9,3,4,3,5,3,2,1,2,1,3.53,5044.84,0.18,0.67,0.66,3.7,0.07,0.22,6.67,6.08,6,0,0,10,0,0,0.64,6.25,C,
8,24,8,SemRel,integ,rel,sing,The camera with the special lens,I,6,4,7,4,6,3,6,4,3,1,2,1,56.9,5044.84,148.2,4.67,1.76,3.7,2.17,0.75,6.75,6.58,6.58,2.5,0,20,0.32,0,0.93,6.75,C,
21,1,5,SemRel,unint,rel,sing,The envelope by the formal letter,I,8,2,6,6,7,2,5,5,3,1,2,2,10.04,1212.84,8.31,82.53,1.04,3.08,0.97,1.92,7,6.25,5.75,27.5,0,10,1.1,0,0.64,5.33,C,
21,2,5,SemRel,unint,rel,sing,The cake by the colored candle,I,4,2,7,6,3,2,6,5,1,1,2,2,44.84,1212.84,5.06,8,1.66,3.08,0.78,0.95,6,5.42,5,2.5,2.5,0,0.32,0.32,0,5,C,
21,3,5,SemRel,unint,rel,sing,The hammer by the rusty nail,I,6,2,6,4,5,2,5,4,2,1,2,1,10.18,1212.84,4.45,10.45,1.05,3.08,0.74,1.06,7,6.33,5.58,35,0,25,1.27,0,1.05,5.92,C,
21,4,5,SemRel,integ,unrel,plur,The coach for the disruptive teenagers,A,5,3,10,9,4,3,9,8,1,1,3,3,29.33,6749.25,0.43,4.29,1.48,3.83,0.16,0.72,3.83,3.58,3.92,0,0,0,0,0,0,5.75,C,
21,5,5,SemRel,integ,unrel,plur,The tent with the sturdy cushions,I,4,4,6,8,4,3,6,6,1,1,2,2,17.39,5044.84,1.69,1.16,1.26,3.7,0.43,0.33,2.08,2.33,3.42,0,0,0,0,0,0,3.42,C,
21,6,5,SemRel,integ,unrel,plur,The dam for the musty factories,I,3,3,5,9,3,3,5,8,1,1,2,3,5.29,6749.25,0.49,16.8,0.8,3.83,0.17,1.25,1.92,3.27,3.42,0,2.5,0,0,0.32,0,3,C,
21,7,5,SemRel,integ,unrel,sing,The necklace with the colorful feather,I,8,4,8,7,6,3,8,5,2,1,3,2,9.71,5044.84,3.14,6.51,1.03,3.7,0.62,0.88,1.42,2.75,3.92,0,0,0,0,0,0,5.17,C,
21,8,5,SemRel,integ,unrel,sing,The fortress with the ancient farm,I,8,4,7,4,7,3,6,3,2,1,2,1,3.37,5044.84,21.61,29.76,0.64,3.7,1.35,1.49,2,2.17,2.83,0,0,0,0,0,0,3.75,C,
21,9,5,SemRel,integ,unrel,sing,The butler for the spoiled kid,A,6,3,7,3,6,3,5,3,2,1,2,1,6.8,6749.25,2.18,327.47,0.89,3.83,0.5,2.52,1.25,1.5,3.67,0,0,0,0,0,0,5.67,C,
21,10,5,SemRel,integ,rel,plur,The vase with the vibrant flowers,I,4,4,7,7,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,46.61,0.69,3.7,0.31,1.68,6.42,6.33,5.58,25,0,0,1.05,0,0,6.5,C,
21,11,5,SemRel,integ,rel,plur,The banana for the popular sundaes,I,6,3,7,7,6,3,8,6,3,1,3,2,10.61,6749.25,23.22,0.53,1.06,3.83,1.38,0.18,5.5,5,5.17,0,0,2.5,0,0,0.32,5,C,
21,12,5,SemRel,integ,rel,plur,The bodyguard for the nervous actresses,A,9,3,7,9,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,2.25,0.83,3.83,1.83,0.51,3.92,5.42,4.83,0,0,0,0,0,0,5.67,C,
21,13,5,SemRel,integ,rel,sing,The bicycle with the warped tire,I,7,4,6,4,8,3,4,4,3,1,1,1,6.55,5044.84,1.35,2.43,0.88,3.7,0.37,0.54,6.67,5.42,5.75,2.5,0,0,0.32,0,0,5.58,C,
21,14,5,SemRel,integ,rel,sing,The caddy for the charismatic golfer,A,5,3,11,6,4,3,10,6,2,1,4,2,2.73,6749.25,0.8,1.1,0.57,3.83,0.26,0.32,6.92,6,6.42,0,0,5,0,0,0.45,5.58,P,
21,15,5,SemRel,integ,rel,sing,The church with the giant cross,I,6,4,5,5,6,3,5,4,1,1,2,1,68.73,5044.84,20.18,30.35,1.84,3.7,1.33,1.5,6.33,7,6.5,2.5,0,10,0.32,0,0.64,6.75,C,
21,16,5,SemRel,unint,unrel,plur,The eraser near the novelty pens,I,6,4,7,4,6,3,7,4,3,1,3,1,1,59.14,1.67,2.51,0.3,1.78,0.43,0.55,3.33,5.11,2.58,0,2.5,2.5,0,0.32,0.32,5,C,
21,17,5,SemRel,unint,unrel,plur,The waitress by the impatient seniors,A,8,2,9,7,6,2,8,6,2,1,3,2,9.67,1212.84,4.04,2.43,1.03,3.08,0.7,0.54,2.17,1.75,2.67,0,0,0,0,0,0,6.25,C,
21,18,5,SemRel,unint,unrel,plur,The table by the antique lamps,I,5,2,7,5,5,2,5,5,2,1,2,1,105.2,1212.84,4.35,2.06,2.03,3.08,0.73,0.49,5.33,5,3.67,0,0,2.5,0,0,0.32,6.25,C,
21,19,5,SemRel,unint,unrel,sing,The resort near the elaborate garden,I,6,4,9,6,6,3,8,5,2,1,4,2,6.65,59.14,2.98,26.29,0.88,1.78,0.6,1.44,3.67,3.67,3.33,0,0,0,0,0,0,6.08,C,
21,20,5,SemRel,unint,unrel,sing,The hydrant near the bright reflector,I,7,4,6,9,8,3,4,9,2,1,1,3,1,59.14,42.31,0.27,0.3,1.78,1.64,0.11,2.58,2,2.25,0,0,0,0,0,0,4.67,C,
