Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,RANK,RANKlog
a,1041179,8382,976941,8380,20415.27,6.0175,99.93,3.9234,6,0.77815125
Aa,87,70,6,5,1.71,1.9445,0.83,1.8513,12967,4.112839511
Aaa,25,23,5,3,0.49,1.4150,0.27,1.3802,24611,4.39112926
Aah,2688,634,52,37,52.71,3.4296,7.56,2.8028,1262,3.101059355
aahing,2,2,2,2,0.04,0.4771,0.02,0.4771,53515,4.72847553
aahs,5,4,5,4,0.10,0.7782,0.05,0.6990,44457,4.647940153
aardvark,21,12,14,8,0.41,1.3424,0.14,1.1139,26900,4.42975228
Aargh,33,26,2,1,0.65,1.5315,0.31,1.4314,21738,4.337219584
Aaron,747,162,0,0,14.65,2.8739,1.93,2.2122,3330,3.522444234
aas,2,2,1,1,0.04,0.4771,0.02,0.4771,53516,4.728483645
Ab,75,51,17,15,1.47,1.8808,0.61,1.7160,14165,4.151216579
Aba,4,4,1,1,0.08,0.6990,0.05,0.6990,45730,4.660201201
aback,15,15,15,15,0.29,1.2041,0.18,1.2041,30254,4.480782803
abacus,12,10,10,9,0.24,1.1139,0.12,1.0414,33267,4.522013638
Abaddon,10,4,0,0,0.20,1.0414,0.05,0.6990,36127,4.557831899
abaft,2,1,2,1,0.04,0.4771,0.01,0.3010,58901,4.770122668
abalone,26,11,14,9,0.51,1.4314,0.13,1.0792,24481,4.388829154
Abalones,6,2,1,1,0.12,0.8451,0.02,0.4771,42929,4.632750772
abandon,413,312,345,281,8.10,2.6170,3.72,2.4955,5021,3.700790221
abandoned,678,538,650,522,13.29,2.8319,6.41,2.7316,3549,3.550105999
abandoning,86,79,84,77,1.69,1.9395,0.94,1.9031,13022,4.114677691
abandonment,49,45,45,41,0.96,1.6990,0.54,1.6628,17736,4.24885568
abandons,14,14,14,14,0.27,1.1761,0.17,1.1761,31015,4.491571786
abase,3,3,2,2,0.06,0.6021,0.04,0.6021,48961,4.689850279
abate,5,3,5,3,0.10,0.7782,0.04,0.6021,45099,4.654166912
abated,4,4,4,4,0.08,0.6990,0.05,0.6990,45731,4.660210698
abatement,3,3,3,3,0.06,0.6021,0.04,0.6021,48962,4.68985915
abates,2,2,2,2,0.04,0.4771,0.02,0.4771,53517,4.72849176
abattoir,7,5,4,4,0.14,0.9031,0.06,0.7782,40397,4.606349114
Abay,3,1,0,0,0.06,0.6021,0.01,0.3010,52995,4.724234896
Abb,3,3,0,0,0.06,0.6021,0.04,0.6021,48963,4.68986802
Abba,9,8,0,0,0.18,1.0000,0.10,0.9542,36752,4.565280978
Abbas,5,2,0,0,0.10,0.7782,0.02,0.4771,45424,4.657285375
Abbe,2,2,0,0,0.04,0.4771,0.02,0.4771,53518,4.728499875
abbess,2,2,1,1,0.04,0.4771,0.02,0.4771,53519,4.72850799
Abbey,162,53,45,20,3.18,2.2122,0.63,1.7324,9060,3.957128198
Abbot,43,24,18,9,0.84,1.6435,0.29,1.3979,19157,4.282327499
Abbott,401,130,1,1,7.86,2.6042,1.55,2.1173,5130,3.710117365
abbreviated,16,14,14,13,0.31,1.2304,0.17,1.1761,29785,4.473997604
abbreviation,12,8,12,8,0.24,1.1139,0.10,0.9542,33556,4.525770186
abbreviations,10,8,10,8,0.20,1.0414,0.10,0.9542,35692,4.552570884
Abby,637,102,0,0,12.49,2.8048,1.22,2.0128,3726,3.571242851
Abc,124,92,0,0,2.43,2.0969,1.10,1.9685,10610,4.025715384
abdicate,9,9,9,9,0.18,1.0000,0.11,1.0000,36270,4.559547556
abdicated,7,7,7,7,0.14,0.9031,0.08,0.9031,39244,4.593773267
Abdicating,3,3,1,1,0.06,0.6021,0.04,0.6021,48964,4.689876889
abdication,6,6,5,5,0.12,0.8451,0.07,0.8451,41017,4.612963893
abdomen,171,122,152,116,3.35,2.2355,1.45,2.0899,8765,3.94275192
abdomens,3,3,3,3,0.06,0.6021,0.04,0.6021,48965,4.689885759
abdominal,174,104,149,94,3.41,2.2430,1.24,2.0212,8688,3.938919812
abdominals,7,7,7,7,0.14,0.9031,0.08,0.9031,39245,4.593784333
abduct,36,32,36,32,0.71,1.5682,0.38,1.5185,20800,4.318063335
abducted,255,176,250,175,5.00,2.4082,2.10,2.2480,6881,3.837651558
abductee,20,11,20,11,0.39,1.3222,0.13,1.0792,27521,4.43966421
abductees,18,13,15,11,0.35,1.2788,0.15,1.1461,28638,4.456942685
abducting,16,13,15,13,0.31,1.2304,0.15,1.1461,29887,4.475482324
abduction,185,111,179,109,3.63,2.2695,1.32,2.0492,8379,3.92319219
abductions,42,22,42,22,0.82,1.6335,0.26,1.3617,19398,4.287756955
abductor,18,13,16,13,0.35,1.2788,0.15,1.1461,28639,4.456957849
abductors,11,8,11,8,0.22,1.0792,0.10,0.9542,34621,4.539339608
abducts,8,8,7,7,0.16,0.9542,0.10,0.9542,37666,4.575949502
abeam,7,4,7,4,0.14,0.9031,0.05,0.6990,40653,4.6090926
abed,10,9,6,6,0.20,1.0414,0.11,1.0000,35406,4.549076865
Abel,68,24,2,2,1.33,1.8388,0.29,1.3979,14965,4.175076721
Abend,9,6,0,0,0.18,1.0000,0.07,0.8451,37286,4.571545795
Aberdeen,17,12,0,0,0.33,1.2553,0.14,1.1139,29286,4.466660058
aberrant,15,13,15,13,0.29,1.2041,0.15,1.1461,30540,4.484869033
aberration,28,26,28,26,0.55,1.4624,0.31,1.4314,23386,4.368955945
aberrations,8,8,8,8,0.16,0.9542,0.10,0.9542,37667,4.575961032
abet,5,5,5,5,0.10,0.7782,0.06,0.7782,43131,4.634789527
abetted,8,8,8,8,0.16,0.9542,0.10,0.9542,37668,4.575972562
abetting,26,25,25,24,0.51,1.4314,0.30,1.4150,24149,4.382899152
abeyance,2,2,2,2,0.04,0.4771,0.02,0.4771,53520,4.728516105
abhor,12,12,12,12,0.24,1.1139,0.14,1.1139,32774,4.515529449
abhorred,7,7,7,7,0.14,0.9031,0.08,0.9031,39246,4.5937954
abhorrent,9,9,9,9,0.18,1.0000,0.11,1.0000,36271,4.559559529
abhors,4,3,4,3,0.08,0.6990,0.04,0.6021,47623,4.67781675
abide,138,124,133,120,2.71,2.1430,1.48,2.0969,9925,3.996730515
abided,3,2,3,2,0.06,0.6021,0.02,0.4771,52055,4.716462451
abides,4,3,4,3,0.08,0.6990,0.04,0.6021,47624,4.67782587
abiding,25,24,24,23,0.49,1.4150,0.29,1.3979,24556,4.390157625
Abigail,154,43,0,0,3.02,2.1903,0.51,1.6435,9333,3.970021266
Abilene,68,30,0,0,1.33,1.8388,0.36,1.4914,14960,4.174931594
abilities,312,209,306,208,6.12,2.4955,2.49,2.3222,6042,3.781180721
ability,980,679,974,673,19.22,2.9917,8.09,2.8325,2723,3.435047641
Abiogenist,3,1,0,0,0.06,0.6021,0.01,0.3010,52996,4.724243091
abject,20,20,17,17,0.39,1.3222,0.24,1.3222,27018,4.431653197
abjectly,3,3,3,3,0.06,0.6021,0.04,0.6021,48966,4.689894628
ablaze,21,19,20,18,0.41,1.3424,0.23,1.3010,26600,4.424881637
able,8155,4285,8048,4258,159.90,3.9115,51.08,3.6321,561,2.748962861
ablest,2,2,2,2,0.04,0.4771,0.02,0.4771,53521,4.728524219
abloom,3,1,3,1,0.06,0.6021,0.01,0.3010,52997,4.724251286
ablution,3,2,2,1,0.06,0.6021,0.02,0.4771,52056,4.716470794
ablutions,4,3,4,3,0.08,0.6990,0.04,0.6021,47625,4.677834989
ably,9,9,9,9,0.18,1.0000,0.11,1.0000,36272,4.559571503
Abner,172,16,0,0,3.37,2.2380,0.19,1.2304,8746,3.941809473
abnormal,148,128,133,115,2.90,2.1732,1.53,2.1106,9523,3.978773784
abnormalities,25,23,24,22,0.49,1.4150,0.27,1.3802,24612,4.391146906
abnormality,26,20,26,20,0.51,1.4314,0.24,1.3222,24353,4.386552469
abnormally,20,19,18,18,0.39,1.3222,0.23,1.3010,27090,4.432809005
abo,6,6,5,5,0.12,0.8451,0.07,0.8451,41018,4.612974481
aboard,1358,709,1335,706,26.63,3.1332,8.45,2.8513,2117,3.325720858
abode,33,31,33,31,0.65,1.5315,0.37,1.5051,21593,4.334312985
abogado,2,2,2,2,0.04,0.4771,0.02,0.4771,53522,4.728532334
abolish,24,21,23,20,0.47,1.3979,0.25,1.3424,25133,4.400244331
abolished,20,18,19,17,0.39,1.3222,0.21,1.2788,27180,4.434249452
abolishing,2,2,2,2,0.04,0.4771,0.02,0.4771,53523,4.728540448
abolition,10,8,10,8,0.20,1.0414,0.10,0.9542,35693,4.552583052
abolitionist,11,7,11,7,0.22,1.0792,0.08,0.9031,34733,4.540742296
abolitionists,13,4,12,4,0.25,1.1461,0.05,0.6990,32708,4.514653989
abominable,32,25,25,20,0.63,1.5185,0.30,1.4150,22065,4.343703932
abominably,8,8,7,7,0.16,0.9542,0.10,0.9542,37669,4.575984091
abominate,3,2,3,2,0.06,0.6021,0.02,0.4771,52057,4.716479136
abomination,58,47,53,46,1.14,1.7709,0.56,1.6812,16261,4.21114725
abominations,7,7,7,7,0.14,0.9031,0.08,0.9031,39247,4.593806465
aboriginal,9,9,8,8,0.18,1.0000,0.11,1.0000,36273,4.559583476
aborigine,4,4,4,4,0.08,0.6990,0.05,0.6990,45732,4.660220195
aborigines,9,8,5,4,0.18,1.0000,0.10,0.9542,36753,4.565292795
Abort,235,118,117,81,4.61,2.3729,1.41,2.0755,7241,3.859798547
aborted,32,29,31,28,0.63,1.5185,0.35,1.4771,21959,4.341612559
aborting,13,11,10,9,0.25,1.1461,0.13,1.0792,32287,4.509027694
abortion,369,155,354,149,7.24,2.5682,1.85,2.1931,5424,3.734319681
abortionist,4,4,4,4,0.08,0.6990,0.05,0.6990,45733,4.660229691
abortions,35,28,34,27,0.69,1.5563,0.33,1.4624,21150,4.325310372
abound,18,16,18,16,0.35,1.2788,0.19,1.2304,28401,4.453333632
abounded,3,3,3,3,0.06,0.6021,0.04,0.6021,48967,4.689903497
abounding,4,3,4,3,0.08,0.6990,0.04,0.6021,47626,4.677844108
abounds,10,10,10,10,0.20,1.0414,0.12,1.0414,35038,4.544539308
about,185206,8321,179962,8313,3631.49,5.2677,99.20,3.9202,51,1.707570176
abouts,8,8,8,8,0.16,0.9542,0.10,0.9542,37670,4.57599562
above,2493,1778,2350,1703,48.88,3.3969,21.20,3.2502,1337,3.126131407
aboveboard,14,13,14,13,0.27,1.1761,0.15,1.1461,31182,4.493903967
aboveground,7,7,6,6,0.14,0.9031,0.08,0.9031,39248,4.593817531
Abracadabra,53,26,10,8,1.04,1.7324,0.31,1.4314,17168,4.234719705
abraded,5,5,4,4,0.10,0.7782,0.06,0.7782,43132,4.634799597
