"","X","subitem.x","subject","item","word.type","seconds","unique.id","word","freq","len.char","len.phon","value"
"1",1,"8-1",8,1,"sil_#",1.212254476,"8-1-sil_#"," ","0",1,NA,NA
"2",2,"8-1",8,1,"D1",0.09194678,"8-1-D1","the","6.1766",3,2,1
"3",3,"8-1",8,1,"N1",0.381676192,"8-1-N1","envelope","2.711",8,7,3
"4",4,"8-1",8,1,"P1",0.169793562,"8-1-P1","by","4.8348",2,2,1
"5",5,"8-1",8,1,"D2",0.109083213,"8-1-D2","the","6.1766",3,2,2
"6",6,"8-1",8,1,"A1",0.297396864,"8-1-A1","photo","3.0667",5,4,1
"7",7,"8-1",8,1,"N2",0.516967632,"8-1-N2","albums","2.0792",6,6,2
"8",8,"8-1",8,1,"C1",0.182993324,"8-1-C1","is","5.6624",2,NA,NA
"9",9,"8-1",8,1,"C2",0.573335317,"8-1-C2","sealed","2.6972",6,NA,NA
"10",10,"8-2",8,2,"sil_#",0.919902642,"8-2-sil_#"," ","0",1,NA,NA
"11",11,"8-2",8,2,"D1",0.136553382,"8-2-D1","the","6.1766",3,2,1
"12",12,"8-2",8,2,"N1",0.213660198,"8-2-N1","cake","3.3615",4,3,1
"13",13,"8-2",8,2,"P1",0.190050846,"8-2-P1","by","4.8348",2,2,1
"14",14,"8-2",8,2,"D2",0.130289719,"8-2-D2","the","6.1766",3,2,2
"15",15,"8-2",8,2,"A1",0.293625741,"8-2-A1","candy","3.2615",5,5,1
"16",16,"8-2",8,2,"N2",0.819741671,"8-2-N2","figurines","1.415",9,9,3
"17",17,"8-2",8,2,"sil_N2C1",0.131266941,"8-2-sil_N2C1"," ","0",1,NA,NA
"18",18,"8-2",8,2,"C1",0.153655716,"8-2-C1","is","5.6624",2,NA,NA
"19",19,"8-2",8,2,"C2",0.254966012,"8-2-C2","really","4.8837",6,NA,NA
"20",20,"8-2",8,2,"C3",0.362019759,"8-2-C3","good","5.1242",4,NA,NA
"21",21,"8-3",8,3,"sil_#",1.467983197,"8-3-sil_#"," ","0",1,NA,NA
"22",22,"8-3",8,3,"D1",0.099830663,"8-3-D1","the","6.1766",3,2,1
"23",23,"8-3",8,3,"N1",0.392951336,"8-3-N1","hammer","2.8041",6,5,2
"24",24,"8-3",8,3,"P1",0.127648822,"8-3-P1","by","4.8348",2,2,1
"25",25,"8-3",8,3,"D2",0.103701348,"8-3-D2","the","6.1766",3,2,2
"26",26,"8-3",8,3,"A1",0.415239476,"8-3-A1","rigid","1.9823",5,5,1
"27",27,"8-3",8,3,"N2",0.515735187,"8-3-N2","pegs","1.1761",4,4,1
"28",28,"8-3",8,3,"sil_N2C1",0.054559596,"8-3-sil_N2C1"," ","0",1,NA,NA
"29",29,"8-3",8,3,"C1",0.092203263,"8-3-C1","is","5.6624",2,NA,NA
"30",30,"8-3",8,3,"C2",0.453776152,"8-3-C2","heavy","3.3826",5,NA,NA
"31",31,"8-4",8,4,"sil_#",1.040684281,"8-4-sil_#"," ","0",1,NA,NA
"32",32,"8-4",8,4,"D1",0.120565876,"8-4-D1","the","6.1766",3,2,1
"33",33,"8-4",8,4,"N1",0.380755484,"8-4-N1","coach","3.3856",5,4,1
"34",34,"8-4",8,4,"P1",0.131938733,"8-4-P1","near","3.6273",4,3,1
"35",35,"8-4",8,4,"D2",0.086754291,"8-4-D2","the","6.1766",3,2,3
"36",36,"8-4",8,4,"A1",0.631207606,"8-4-A1","disruptive","1.3617",10,9,1
"37",37,"8-4",8,4,"N2",0.701865255,"8-4-N2","teenager","2.5465",8,7,3
"38",38,"8-4",8,4,"sil_N2C1",0.06257309,"8-4-sil_N2C1"," ","0",1,NA,NA
"39",39,"8-4",8,4,"C1",0.302299607,"8-4-C1","yelled","2.4969",6,NA,NA
"40",40,"8-4",8,4,"C2",0.102617681,"8-4-C2","at","5.215",2,NA,NA
"41",41,"8-4",8,4,"C3",0.36308752,"8-4-C3","him","5.2497",3,NA,NA
"42",42,"8-5",8,5,"sil_#",1.822606804,"8-5-sil_#"," ","0",1,NA,NA
"43",43,"8-5",8,5,"D1",0.174857686,"8-5-D1","the","6.1766",3,2,1
"44",44,"8-5",8,5,"N1",0.320867079,"8-5-N1","tent","2.9509",4,4,1
"45",45,"8-5",8,5,"P1",0.187374621,"8-5-P1","near","3.6273",4,3,1
"46",46,"8-5",8,5,"D2",0.106808274,"8-5-D2","the","6.1766",3,2,2
"47",47,"8-5",8,5,"A1",0.498492678,"8-5-A1","sturdy","1.9395",6,6,1
"48",48,"8-5",8,5,"N2",0.517836958,"8-5-N2","cushion","2.0453",7,5,2
"49",49,"8-5",8,5,"sil_N2C1",0.096191554,"8-5-sil_N2C1"," ","0",1,NA,NA
"50",50,"8-5",8,5,"C1",0.243932271,"8-5-C1","was","5.46",3,NA,NA
"51",51,"8-5",8,5,"C2",0.336919718,"8-5-C2","tall","3.2175",4,NA,NA
"52",52,"8-6",8,6,"sil_#",1.867291379,"8-6-sil_#"," ","0",1,NA,NA
"53",53,"8-6",8,6,"D1",0.068844005,"8-6-D1","the","6.1766",3,2,1
"54",54,"8-6",8,6,"N1",0.361000029,"8-6-N1","dam","2.4683",3,3,1
"55",55,"8-6",8,6,"P1",0.105082548,"8-6-P1","by","4.8348",2,2,1
"56",56,"8-6",8,6,"D2",0.080259738,"8-6-D2","the","6.1766",3,2,2
"57",57,"8-6",8,6,"A1",0.454831845,"8-6-A1","musty","1.415",5,5,1
"58",58,"8-6",8,6,"N2",0.817417409,"8-6-N2","factory","2.9335",7,7,3
"59",59,"8-6",8,6,"sil_N2C1",0.513382953,"8-6-sil_N2C1"," ","0",1,NA,NA
"60",60,"8-6",8,6,"C1",0.233625632,"8-6-C1","has","4.7622",3,NA,NA
"61",61,"8-6",8,6,"C2",0.476687263,"8-6-C2","water","4.0599",5,NA,NA
"62",62,"8-7",8,7,"sil_#",1.784987991,"8-7-sil_#"," ","0",1,NA,NA
"63",63,"8-7",8,7,"D1",0.080908246,"8-7-D1","the","6.1766",3,2,1
"64",64,"8-7",8,7,"N1",0.448097763,"8-7-N1","necklace","2.6972",8,6,2
"65",65,"8-7",8,7,"P1",0.126454216,"8-7-P1","near","3.6273",4,3,1
"66",66,"8-7",8,7,"D2",0.122995393,"8-7-D2","the","6.1766",3,2,3
"67",67,"8-7",8,7,"A1",0.378826196,"8-7-A1","colorful","2.2148",8,8,1
"68",68,"8-7",8,7,"N2",0.476117846,"8-7-N2","diamonds","2.9395",8,7,2
"69",69,"8-7",8,7,"C1",0.26355207,"8-7-C1","was","5.46",3,NA,NA
"70",70,"8-7",8,7,"C2",1.068230285,"8-7-C2","expensive","3.1541",9,NA,NA
"71",71,"8-8",8,8,"sil_#",0.829654879,"8-8-sil_#"," ","0",1,NA,NA
"72",72,"8-8",8,8,"D1",0.07179516,"8-8-D1","the","6.1766",3,2,1
"73",73,"8-8",8,8,"N1",0.582874846,"8-8-N1","fortress","2.238",8,7,2
"74",74,"8-8",8,8,"P1",0.169269561,"8-8-P1","near","3.6273",4,3,1
"75",75,"8-8",8,8,"D2",0.04123615,"8-8-D2","the","6.1766",3,2,2
"76",76,"8-8",8,8,"A1",0.370399836,"8-8-A1","ancient","3.0438",7,6,1
"77",77,"8-8",8,8,"N2",0.479307905,"8-8-N2","walls","3.1011",5,4,1
