"","subitem","subject","item","word.type","seconds","unique.id","word"
"1","8-1",8,1,"sil_#",1.212254476,"8-1-sil_#",NA
"2","8-1",8,1,"D1",0.09194678,"8-1-D1","The"
"3","8-1",8,1,"N1",0.381676192,"8-1-N1","envelope"
"4","8-1",8,1,"P1",0.169793562,"8-1-P1","by"
"5","8-1",8,1,"D2",0.109083213,"8-1-D2","the"
"6","8-1",8,1,"A1",0.297396864,"8-1-A1","photo"
"7","8-1",8,1,"N2",0.516967632,"8-1-N2","albums"
"8","8-1",8,1,"C1",0.182993324,"8-1-C1","is"
"9","8-1",8,1,"C2",0.573335317,"8-1-C2","sealed"
"10","8-2",8,2,"sil_#",0.919902642,"8-2-sil_#",NA
"11","8-2",8,2,"D1",0.136553382,"8-2-D1","The"
"12","8-2",8,2,"N1",0.213660198,"8-2-N1","cake"
"13","8-2",8,2,"P1",0.190050846,"8-2-P1","by"
"14","8-2",8,2,"D2",0.130289719,"8-2-D2","the"
"15","8-2",8,2,"A1",0.293625741,"8-2-A1","candy"
"16","8-2",8,2,"N2",0.819741671,"8-2-N2","figurines"
"17","8-2",8,2,"sil_N2C1",0.131266941,"8-2-sil_N2C1",NA
"18","8-2",8,2,"C1",0.153655716,"8-2-C1","is"
"19","8-2",8,2,"C2",0.254966012,"8-2-C2","really"
"20","8-2",8,2,"C3",0.362019759,"8-2-C3","good"
"21","8-3",8,3,"sil_#",1.467983197,"8-3-sil_#",NA
"22","8-3",8,3,"D1",0.099830663,"8-3-D1","The"
"23","8-3",8,3,"N1",0.392951336,"8-3-N1","hammer"
"24","8-3",8,3,"P1",0.127648822,"8-3-P1","by"
"25","8-3",8,3,"D2",0.103701348,"8-3-D2","the"
"26","8-3",8,3,"A1",0.415239476,"8-3-A1","rigid"
"27","8-3",8,3,"N2",0.515735187,"8-3-N2","pegs"
"28","8-3",8,3,"sil_N2C1",0.054559596,"8-3-sil_N2C1",NA
"29","8-3",8,3,"C1",0.092203263,"8-3-C1","is"
"30","8-3",8,3,"C2",0.453776152,"8-3-C2","heavy"
"31","8-4",8,4,"sil_#",1.040684281,"8-4-sil_#",NA
"32","8-4",8,4,"D1",0.120565876,"8-4-D1","The"
"33","8-4",8,4,"N1",0.380755484,"8-4-N1","coach"
"34","8-4",8,4,"P1",0.131938733,"8-4-P1","near"
"35","8-4",8,4,"D2",0.086754291,"8-4-D2","the"
"36","8-4",8,4,"A1",0.631207606,"8-4-A1","disruptive"
"37","8-4",8,4,"N2",0.701865255,"8-4-N2","teenager"
"38","8-4",8,4,"sil_N2C1",0.06257309,"8-4-sil_N2C1",NA
"39","8-4",8,4,"C1",0.302299607,"8-4-C1","yelled"
"40","8-4",8,4,"C2",0.102617681,"8-4-C2","at"
"41","8-4",8,4,"C3",0.36308752,"8-4-C3","him"
"42","8-5",8,5,"sil_#",1.822606804,"8-5-sil_#",NA
"43","8-5",8,5,"D1",0.174857686,"8-5-D1","The"
"44","8-5",8,5,"N1",0.320867079,"8-5-N1","tent"
"45","8-5",8,5,"P1",0.187374621,"8-5-P1","near"
"46","8-5",8,5,"D2",0.106808274,"8-5-D2","the"
"47","8-5",8,5,"A1",0.498492678,"8-5-A1","sturdy"
"48","8-5",8,5,"N2",0.517836958,"8-5-N2","cushion"
"49","8-5",8,5,"sil_N2C1",0.096191554,"8-5-sil_N2C1",NA
"50","8-5",8,5,"C1",0.243932271,"8-5-C1","was"
"51","8-5",8,5,"C2",0.336919718,"8-5-C2","tall"
"52","8-6",8,6,"sil_#",1.867291379,"8-6-sil_#",NA
"53","8-6",8,6,"D1",0.068844005,"8-6-D1","The"
"54","8-6",8,6,"N1",0.361000029,"8-6-N1","dam"
"55","8-6",8,6,"P1",0.105082548,"8-6-P1","by"
"56","8-6",8,6,"D2",0.080259738,"8-6-D2","the"
"57","8-6",8,6,"A1",0.454831845,"8-6-A1","musty"
"58","8-6",8,6,"N2",0.817417409,"8-6-N2","factory"
"59","8-6",8,6,"sil_N2C1",0.513382953,"8-6-sil_N2C1",NA
"60","8-6",8,6,"C1",0.233625632,"8-6-C1","has"
"61","8-6",8,6,"C2",0.476687263,"8-6-C2","water"
"62","8-7",8,7,"sil_#",1.784987991,"8-7-sil_#",NA
"63","8-7",8,7,"D1",0.080908246,"8-7-D1","The"
"64","8-7",8,7,"N1",0.448097763,"8-7-N1","necklace"
"65","8-7",8,7,"P1",0.126454216,"8-7-P1","near"
"66","8-7",8,7,"D2",0.122995393,"8-7-D2","the"
"67","8-7",8,7,"A1",0.378826196,"8-7-A1","colorful"
"68","8-7",8,7,"N2",0.476117846,"8-7-N2","diamonds"
"69","8-7",8,7,"C1",0.26355207,"8-7-C1","was"
"70","8-7",8,7,"C2",1.068230285,"8-7-C2","expensive"
"71","8-8",8,8,"sil_#",0.829654879,"8-8-sil_#",NA
"72","8-8",8,8,"D1",0.07179516,"8-8-D1","The"
