"","subitem","subject.x","item.x","list","exp","integrated","related.x","n2num.x","text","X","X.1","X.2","X.3","X.4","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Ass..H.L","Ass..L.HP","Ass..L.HS","AssArc.H.L","AssArc.L.HP","AssArc.L.HS","Plausibility","maincode","dysfluency","subject.y","item.y","transciption"
"1","8-1",8,1,8,"SemRel","unint","unrel","plur","The","envelope","by","the","photo","albums","I",8,2,5,6,7,2,4,6,3,1,2,2,10.04,1212.84,22.82,2.33,1.04,3.08,1.38,0.52,2.83,2.17,1.92,0,0,0,0,0,0,4.58,"C","",8,1,"the envelope by the photo albums is sealed"
"2","8-2",8,2,8,"SemRel","unint","unrel","plur","The","cake","by","the","candy","figurines","I",4,2,5,9,3,2,5,9,1,1,2,3,44.84,1212.84,35.55,0.49,1.66,3.08,1.56,0.17,3.92,3.58,3.5,0,0,0,0,0,0,5.55,"C","",8,2,"the cake by the candy figurines is really good"
"3","8-3",8,3,8,"SemRel","unint","unrel","plur","The","hammer","by","the","rigid","pegs","I",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,0,0,0,0,0,0,4.83,"C","",8,3,"the hammer by the rigid pegs is heavy"
"4","8-4",8,4,8,"SemRel","unint","unrel","sing","The","coach","near","the","disruptive","teenager","A",5,4,10,8,4,3,9,7,1,1,3,3,29.33,59.14,0.43,6.92,1.48,1.78,0.16,0.9,4.25,2.58,3,0,0,0,0,0,0,5.08,"U","",8,4,"the coach near the disruptive teenager yelled at him"
"5","8-5",8,5,8,"SemRel","unint","unrel","sing","The","tent","near","the","sturdy","cushion","I",4,4,6,7,4,3,6,5,1,1,2,2,17.39,59.14,1.69,1.86,1.26,1.78,0.43,0.46,1.92,2.08,1.67,0,0,0,0,0,0,2.83,"C","",8,5,"the tent near the sturdy cushion was tall"
"6","8-6",8,6,8,"SemRel","unint","unrel","sing","The","dam","by","the","musty","factory","I",3,2,5,7,3,2,5,7,1,1,2,3,5.29,1212.84,0.49,2.31,0.8,3.08,0.17,0.52,2,3.33,2.5,0,5,0,0,0.45,0,4.17,"C","",8,6,"the dam by the musty factory has water"
"7","8-7",8,7,8,"SemRel","unint","rel","plur","The","necklace","near","the","colorful","diamonds","I",8,4,8,8,6,3,8,7,2,1,3,2,9.71,59.14,3.14,17.04,1.03,1.78,0.62,1.26,6.33,5.5,3.83,2.5,0,5,0.32,0,0.45,4.42,"C","",8,7,"the necklace near the colorful diamonds was expensive"
"8","8-8",8,8,8,"SemRel","unint","rel","plur","The","fortress","near","the","ancient","walls","I",8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,24.16,0.64,1.78,1.35,1.4,6.25,6.33,4.58,0,0,0,0,0,0,5.5,"C","",8,8,"the fortress near the ancient walls was nice"
"9","8-9",8,9,8,"SemRel","unint","rel","plur","The","butler","near","the","selfish","millionaires","A",6,4,7,12,6,3,6,10,2,1,2,3,6.8,59.14,15.94,1.76,0.89,1.78,1.23,0.44,5.83,4.58,3.33,0,0,0,0,0,0,4.92,"C","",8,9,"the butler near the selfish millionaires was poor"
"10","8-10",8,10,8,"SemRel","unint","rel","sing","The","vase","near","the","vibrant","flower","I",4,4,7,6,3,3,7,5,1,1,2,2,3.84,59.14,1.02,22.14,0.69,1.78,0.31,1.36,5.75,6.78,5.08,15,0,2.5,0.8,0,0.32,4,"C","",8,10,"the vase near the vibrant flower is broken"
